,timestamp,client_id,produit_id,price,quantity,revenue
1315,2022-08-22 21:17:55,1082,100,18,2,36
925,2022-10-30 13:55:26,886,118,12,1,12
6588,2022-07-13 07:16:07,2193,30,12,2,24
4271,2022-10-22 20:33:22,468,127,15,11,165
5789,2022-12-07 11:06:40,3457,167,15,2,30
6611,2022-08-15 22:26:21,830,33,17,1,17
9132,2022-07-24 06:36:18,3802,118,12,1,12
212,2022-09-13 23:16:32,311,225,12,2,24
7246,2022-07-16 20:06:39,1199,5,12,7,84
8193,2022-08-05 21:44:21,144,114,18,2,36
7674,2022-12-09 22:15:24,3069,56,18,3,54
9646,2022-10-20 21:20:01,2493,100,18,1,18
2699,2022-08-02 23:40:05,286,7,17,1,17
5528,2022-08-01 11:54:37,3304,199,17,3,51
8311,2022-11-16 14:20:42,2892,147,12,2,24
7279,2022-09-19 00:06:17,96,19,12,4,48
7103,2022-11-17 19:37:42,2647,68,12,3,36
2706,2022-08-17 22:49:37,2276,205,12,4,48
2597,2022-08-03 10:43:47,3606,214,12,4,48
2195,2022-12-14 22:12:12,1113,78,17,7,119
168,2022-10-15 20:47:24,1857,30,12,2,24
7069,2022-12-25 15:43:37,1409,200,17,1,17
3830,2022-10-21 22:11:58,3135,200,17,2,34
9462,2022-07-25 21:54:09,3545,75,16,3,48
8635,2022-07-08 15:13:16,593,140,17,5,85
8546,2022-08-06 08:02:08,3741,206,16,3,48
5072,2022-10-26 07:56:46,3322,235,18,4,72
5988,2022-09-17 19:36:58,1066,84,17,2,34
2243,2022-08-28 04:06:04,3290,130,12,7,84
5206,2022-10-11 06:16:15,47,101,12,4,48
8558,2022-10-31 22:49:04,1419,213,12,3,36
6586,2022-09-12 20:44:52,893,213,12,1,12
6047,2022-07-20 21:38:01,3347,141,12,4,48
6741,2022-11-19 21:23:49,627,101,12,3,36
6428,2022-10-31 17:05:33,484,183,16,4,64
7999,2022-10-24 19:06:26,3020,213,12,4,48
6417,2022-08-12 07:34:46,1351,51,18,4,72
9616,2022-10-20 15:07:31,3850,29,18,10,180
4634,2022-12-17 20:33:25,2323,101,12,4,48
3234,2022-07-22 22:36:52,3240,136,18,9,162
5935,2022-10-26 11:17:21,2400,164,14,3,42
3349,2022-12-18 20:46:48,3287,232,12,3,36
9287,2022-12-17 19:49:07,2640,98,18,2,36
7509,2022-07-08 19:47:31,2226,155,12,7,84
4132,2022-11-06 20:09:33,2162,236,12,7,84
4659,2022-11-21 20:02:24,797,157,15,7,105
6639,2022-12-27 20:04:14,1390,220,12,6,72
738,2022-07-02 10:06:02,37,242,12,3,36
5975,2022-11-16 10:18:25,2673,183,16,3,48
8136,2022-07-17 22:47:04,3089,80,18,2,36
7628,2022-10-30 20:47:44,345,33,17,4,68
4404,2022-08-08 19:16:42,2961,54,17,4,68
4368,2022-09-09 07:20:25,1831,158,12,3,36
2960,2022-09-23 19:53:13,961,178,14,3,42
8321,2022-11-25 13:13:02,3012,195,18,4,72
9938,2022-12-27 22:53:12,3942,48,12,1,12
1633,2022-12-31 22:54:07,1947,228,17,2,34
516,2022-09-25 12:52:09,2592,29,18,4,72
9751,2022-12-12 23:59:53,1805,201,12,7,84
9430,2022-08-30 22:10:31,3528,241,14,3,42
530,2022-09-28 14:23:54,1992,144,12,4,48
9520,2022-10-30 19:08:44,3973,213,12,2,24
4401,2022-12-20 21:02:35,3618,199,17,4,68
8559,2022-11-26 19:18:50,3015,15,14,4,56
3379,2022-08-28 20:03:19,2414,234,18,6,108
9492,2022-11-25 21:11:21,3486,1,18,2,36
2559,2022-11-28 02:30:22,2984,248,16,3,48
8357,2022-12-26 19:14:26,1874,243,12,3,36
1197,2022-12-29 21:10:49,379,70,12,8,96
5496,2022-07-02 16:10:53,2473,162,12,3,36
6001,2022-08-18 21:49:43,1556,40,15,1,15
771,2022-11-06 22:19:50,2253,224,12,4,48
6061,2022-11-03 23:52:29,1735,2,17,1,17
7027,2022-09-28 14:53:04,973,45,16,4,64
9834,2022-08-22 19:26:42,938,152,12,2,24
157,2022-11-09 21:00:35,3796,44,15,5,75
3534,2022-09-02 22:01:11,1859,151,12,3,36
7541,2022-07-22 20:29:37,2637,138,18,12,216
4087,2022-09-14 16:10:58,3118,116,15,8,120
3430,2022-08-07 14:30:57,2742,236,12,2,24
4755,2022-11-25 19:49:13,2407,12,12,2,24
7785,2022-11-04 17:33:25,3307,112,12,3,36
6845,2022-11-12 19:23:38,15,21,18,4,72
8866,2022-10-01 22:41:20,3147,226,12,3,36
4702,2022-11-13 20:38:38,1758,160,18,2,36
7918,2022-11-27 22:14:58,2190,76,15,3,45
592,2022-08-26 23:35:03,2207,15,14,4,56
8184,2022-12-07 19:23:57,3858,110,17,2,34
9729,2022-12-24 23:23:17,218,60,12,7,84
2255,2022-12-06 23:30:42,2958,191,15,7,105
27,2022-08-03 19:46:25,3541,68,12,1,12
8023,2022-08-13 23:24:40,3447,215,17,5,85
7589,2022-07-22 20:42:31,157,140,17,4,68
5095,2022-10-08 13:01:09,2995,115,14,4,56
5806,2022-12-30 11:51:33,2238,108,12,5,60
6560,2022-10-09 09:33:45,211,146,16,8,128
5661,2022-10-19 19:48:21,2694,234,18,5,90
4310,2022-09-19 14:21:42,15,142,16,1,16
1727,2022-12-31 22:15:14,1239,8,12,1,12
8453,2022-11-26 20:54:06,3838,164,14,5,70
3878,2022-08-06 23:42:12,2432,143,15,1,15
6644,2022-08-10 22:14:35,1543,219,18,9,162
3348,2022-07-20 21:29:15,3576,184,12,4,48
706,2022-07-24 19:42:22,914,90,17,3,51
5691,2022-08-02 19:04:05,1303,37,18,13,234
4333,2022-10-07 00:26:18,492,143,15,3,45
4720,2022-08-07 23:30:20,1853,151,12,1,12
6787,2022-07-06 23:58:35,485,149,17,3,51
3157,2022-08-09 06:19:51,764,42,12,1,12
9731,2022-11-02 11:11:27,2658,172,17,1,17
444,2022-10-24 22:44:37,3243,34,18,8,144
1180,2022-08-13 19:32:35,1952,248,16,2,32
1114,2022-10-15 07:20:36,2451,14,18,2,36
1313,2022-12-23 19:46:40,2381,49,12,5,60
4642,2022-10-12 23:50:03,3803,205,12,3,36
2076,2022-08-15 10:51:59,3062,188,18,4,72
8018,2022-07-02 19:16:58,3260,31,18,2,36
7091,2022-08-23 13:54:26,3807,46,17,2,34
669,2022-10-22 08:37:42,1575,44,15,5,75
3653,2022-07-22 10:41:26,3354,25,15,1,15
7537,2022-09-21 23:08:47,1378,247,12,2,24
4417,2022-07-25 22:14:44,2774,7,17,2,34
9120,2022-12-17 18:31:30,1297,101,12,1,12
1084,2022-09-15 23:14:10,2910,85,18,1,18
865,2022-07-12 22:24:26,1085,192,18,6,108
7683,2022-08-07 01:36:44,3381,199,17,4,68
7582,2022-07-05 06:38:55,1222,124,18,8,144
2822,2022-07-01 19:57:11,1170,137,12,2,24
9597,2022-09-03 19:53:15,3586,78,17,2,34
8992,2022-07-12 22:48:45,60,61,18,5,90
3668,2022-10-29 13:43:08,1514,166,16,5,80
3939,2022-10-31 21:35:16,337,101,12,7,84
1348,2022-10-03 10:15:40,1636,181,12,5,60
1825,2022-09-22 09:49:21,745,92,18,9,162
4143,2022-11-21 23:32:24,789,196,17,4,68
2364,2022-09-23 19:48:36,2566,176,15,5,75
7775,2022-08-24 22:16:10,117,188,18,4,72
3407,2022-10-07 05:50:53,3614,168,17,6,102
17,2022-09-06 22:38:09,2405,43,12,6,72
2065,2022-10-25 04:27:57,1695,77,17,6,102
8143,2022-10-10 21:39:56,398,84,17,4,68
5827,2022-12-17 23:14:33,560,41,12,2,24
1327,2022-08-03 20:27:04,3719,219,18,4,72
5684,2022-08-22 19:56:54,562,82,17,1,17
6003,2022-11-06 23:14:50,1691,201,12,5,60
81,2022-07-11 20:54:55,1637,58,15,1,15
4980,2022-09-02 13:28:23,1098,242,12,2,24
3948,2022-10-09 19:21:15,2770,172,17,2,34
3149,2022-09-30 16:58:07,2844,147,12,5,60
628,2022-07-09 04:59:13,1116,84,17,2,34
3828,2022-08-03 19:24:33,1965,160,18,2,36
2166,2022-08-14 23:40:45,353,194,17,3,51
9407,2022-08-27 08:29:44,2050,113,18,5,90
7941,2022-10-26 21:35:10,2322,193,18,1,18
8495,2022-08-17 20:10:43,2125,17,12,3,36
2924,2022-07-28 11:53:48,861,130,12,5,60
7043,2022-09-23 10:02:47,1724,181,12,8,96
1894,2022-11-19 20:59:29,1050,221,12,12,144
2431,2022-10-04 23:15:31,3239,211,12,1,12
9812,2022-11-24 19:12:19,171,230,12,2,24
7801,2022-10-03 14:44:10,959,202,12,1,12
2538,2022-10-25 23:09:14,3615,211,12,4,48
3708,2022-12-14 23:35:30,2146,61,18,1,18
6621,2022-07-02 16:08:16,646,86,12,4,48
2830,2022-09-15 08:17:42,2383,153,18,2,36
4127,2022-10-19 12:12:08,1681,104,18,3,54
5430,2022-09-18 17:05:09,1573,225,12,1,12
5723,2022-11-05 19:55:08,290,46,17,4,68
6433,2022-08-19 22:40:00,2665,146,16,3,48
54,2022-07-05 19:12:06,547,47,12,3,36
9740,2022-12-26 21:28:40,226,227,12,5,60
2690,2022-11-03 22:43:46,2344,143,15,7,105
5656,2022-09-27 20:35:19,3515,1,18,4,72
4223,2022-11-02 23:42:43,1031,38,15,4,60
6581,2022-10-10 22:09:33,1731,215,17,3,51
4775,2022-08-15 22:24:08,1466,199,17,3,51
8359,2022-07-25 15:06:27,519,224,12,3,36
5750,2022-07-04 22:18:45,1872,162,12,5,60
6777,2022-08-02 19:51:27,3100,53,12,2,24
9735,2022-08-21 21:50:49,1496,92,18,4,72
8413,2022-07-14 23:53:27,3090,240,14,3,42
7074,2022-09-06 20:07:53,3975,23,18,3,54
6575,2022-10-19 21:28:27,3501,216,12,6,72
7219,2022-09-13 17:21:51,3295,214,12,5,60
1527,2022-10-06 14:17:05,4,157,15,2,30
5316,2022-08-08 20:26:59,738,67,12,1,12
7196,2022-12-29 19:23:49,2289,75,16,6,96
2696,2022-10-14 22:11:57,2894,29,18,3,54
5180,2022-07-18 14:47:27,3699,72,18,2,36
9822,2022-11-23 11:25:34,2682,185,18,3,54
9027,2022-10-10 20:57:02,2012,85,18,6,108
3801,2022-08-13 23:24:11,2069,172,17,5,85
7738,2022-12-29 17:45:48,3342,42,12,3,36
7443,2022-07-04 08:07:35,105,204,14,6,84
3761,2022-08-21 21:56:56,2546,244,12,2,24
1491,2022-10-02 19:21:53,2195,77,17,1,17
9209,2022-12-30 23:43:11,341,62,17,10,170
9801,2022-09-26 06:35:52,1828,248,16,1,16
391,2022-10-23 01:19:58,1500,60,12,3,36
5081,2022-12-10 22:54:22,1579,196,17,3,51
4577,2022-10-29 19:17:19,1380,164,14,4,56
7178,2022-07-22 21:12:14,2586,213,12,4,48
1566,2022-11-27 15:48:37,1579,91,17,3,51
8204,2022-12-23 23:45:30,858,221,12,8,96
244,2022-07-13 23:15:04,3393,83,16,4,64
450,2022-07-29 22:31:33,2501,107,12,1,12
3471,2022-12-17 09:59:31,50,147,12,9,108
7468,2022-09-28 20:02:54,1480,74,14,3,42
9714,2022-11-07 13:57:55,1458,150,12,1,12
4691,2022-10-02 07:14:05,1584,159,12,3,36
6375,2022-11-10 20:03:34,3651,83,16,5,80
483,2022-12-03 21:47:39,3082,146,16,4,64
1477,2022-07-26 20:47:41,238,80,18,2,36
8957,2022-10-01 20:08:37,3308,77,17,1,17
5244,2022-07-16 23:22:06,292,118,12,3,36
3232,2022-09-20 09:20:25,2492,218,18,2,36
9280,2022-11-24 20:33:33,1967,114,18,2,36
3404,2022-08-29 21:24:07,460,27,12,7,84
5024,2022-12-03 19:35:50,3097,131,18,3,54
7955,2022-11-06 21:14:02,3704,144,12,5,60
9342,2022-12-13 15:23:22,1321,135,12,3,36
7410,2022-09-05 22:53:33,851,224,12,2,24
4100,2022-11-17 17:10:03,2563,140,17,6,102
9324,2022-07-31 13:11:47,1001,105,12,5,60
2060,2022-09-15 23:37:07,399,225,12,3,36
1681,2022-11-14 09:04:28,966,57,12,2,24
2575,2022-09-17 22:56:16,932,92,18,4,72
5022,2022-08-03 20:27:50,416,91,17,6,102
676,2022-12-23 01:44:26,3512,137,12,5,60
99,2022-11-16 08:53:04,3310,144,12,3,36
2949,2022-11-22 18:50:43,3249,228,17,2,34
728,2022-11-12 22:33:54,94,39,15,9,135
42,2022-11-07 20:03:21,1664,91,17,5,85
4859,2022-09-23 21:55:01,2018,73,12,2,24
1844,2022-12-15 19:29:10,2041,60,12,1,12
6142,2022-12-02 19:25:24,1515,212,18,1,18
4530,2022-08-05 22:41:07,1588,223,12,1,12
1149,2022-09-21 09:39:03,1122,114,18,2,36
9591,2022-07-04 23:31:29,1392,239,18,9,162
7009,2022-12-16 23:57:04,2502,62,17,1,17
7463,2022-08-10 11:58:39,1103,226,12,3,36
3691,2022-09-29 21:45:09,1111,76,15,1,15
5048,2022-09-29 20:47:12,2827,36,18,1,18
6540,2022-09-24 21:23:48,1284,223,12,2,24
2847,2022-08-25 15:19:52,1447,90,17,5,85
3513,2022-11-02 03:58:30,1271,54,17,4,68
4516,2022-12-31 19:24:40,2910,122,12,4,48
5549,2022-12-24 14:44:58,1928,6,18,3,54
7581,2022-09-20 07:39:34,18,92,18,2,36
9156,2022-12-29 23:31:27,3003,41,12,5,60
4796,2022-09-08 22:33:41,1595,143,15,2,30
940,2022-12-26 23:08:21,1690,105,12,7,84
5159,2022-11-30 14:49:37,751,193,18,2,36
1579,2022-07-27 19:26:42,599,146,16,3,48
6406,2022-09-06 23:19:24,3449,31,18,7,126
6536,2022-12-08 19:26:14,2253,24,17,3,51
5628,2022-12-23 21:50:10,3834,34,18,6,108
5123,2022-08-31 22:58:33,3959,104,18,5,90
1271,2022-07-29 11:41:42,1953,126,12,6,72
4442,2022-08-20 19:06:34,60,171,17,3,51
4585,2022-09-03 19:23:13,1642,67,12,1,12
3482,2022-12-03 22:25:06,2221,228,17,2,34
7296,2022-12-10 23:13:31,193,43,12,7,84
954,2022-12-28 21:02:29,3548,44,15,3,45
2300,2022-10-03 06:32:07,1517,76,15,6,90
3383,2022-10-05 23:54:40,3210,159,12,5,60
5738,2022-08-12 02:43:12,852,22,12,6,72
5702,2022-08-05 22:29:01,2049,118,12,1,12
2057,2022-09-13 22:20:27,3054,59,17,3,51
830,2022-11-02 19:22:19,625,190,12,4,48
5885,2022-07-07 23:12:39,223,125,15,1,15
5149,2022-11-14 20:41:46,883,91,17,1,17
405,2022-09-09 20:28:13,1489,195,18,2,36
6435,2022-08-01 18:27:43,1701,191,15,3,45
8878,2022-12-18 21:43:47,1054,203,12,1,12
439,2022-07-19 01:29:04,3915,214,12,7,84
2980,2022-07-08 11:13:55,3257,185,18,1,18
7990,2022-10-18 05:01:39,3067,205,12,2,24
